paper_id,ground_truth_reproducibility_score,repro_agent_score_from_2025_hu,source_note
1,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
2,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
3,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
4,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
5,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
6,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
7,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
8,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
9,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
10,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
11,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
12,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
13,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
14,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
15,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
16,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
